level_0,level_1,0,column1,column2
1933,8,"[16412.099454619078, 8]",16412.099454619078,8
1933,9,"[17772.662499407, 9]",17772.662499407,9
1933,10,"[21137.027510544747, 10]",21137.027510544747,10
1933,11,"[24793.73326986899, 11]",24793.73326986899,11
1933,12,"[33112.030781910034, 12]",33112.030781910034,12
1933,13,"[27562.454422861912, 13]",27562.454422861912,13
1933,14,"[25037.73359772776, 14]",25037.73359772776,14
1933,15,"[24444.339311461612, 15]",24444.339311461612,15
1933,16,"[29220.76321292121, 16]",29220.76321292121,16
1933,17,"[37855.49874233943, 17]",37855.49874233943,17
1933,18,"[43836.66754362905, 18]",43836.66754362905,18
1933,19,"[50951.35868596005, 19]",50951.35868596005,19
1933,20,"[49952.71205571523, 20]",49952.71205571523,20
